class,LOC,HALSTEAD,RFC,CBO,MPC,IFC,DAC,DAC2,LCOM1,LCOM2,LCOM3,LCOM4,CONNECTIVITY,LCOM5,COH,TCC,LCC,ICH,WCM,NOA,NOPA,NOP,McCABE
org.joda.time.TestDateTimeComparator,958,3910.6928164460696,254,14,204,204,16,3,931,637,294,334,0.2423469387755102,2,0.1925,0,0,0.0,50,16,0,1,66
org.joda.time.TestAbstractPartial,228,1173.9174067033962,40,6,29,29,5,2,54,53,1,2,-0.17777777777777778,2,0.05454545454545454,0,0,0.0,11,5,0,5,23
org.joda.time.TestDurationField,62,306.45671177162285,13,3,7,7,0,0,15,15,0,1,-0.4,0,0.0,0,0,0.0,6,0,0,0,11
org.joda.time.TestBaseSingleFieldPeriod,334,1675.3849239984027,82,3,65,65,1,1,136,136,0,1,-0.125,16,0.058823529411764705,0,0,0.0,17,1,0,1,26
org.joda.time.TestPeriodType,916,3425.720527038146,535,8,488,488,10,4,1079,1077,2,31,-0.014492753623188406,5,0.023404255319148935,0,0,0.0,47,10,0,8,100
org.joda.time.TestYears,321,1462.8650792922838,110,6,84,84,1,1,324,323,1,2,-0.07666666666666666,24,0.07692307692307693,0,0,0.0,26,1,0,1,38
org.joda.time.TestDateTimeUtils,518,2452.5571392994466,144,17,105,105,11,5,732,723,9,15,-0.032716927453769556,3,0.046620046620046623,0,0,0.0,39,11,0,9,70
org.joda.time.TestDays,435,2084.267810320736,154,6,120,120,1,1,560,559,1,2,-0.058712121212121215,32,0.058823529411764705,0,0,0.0,34,1,0,1,50
org.joda.time.TestDateTimeFieldType,327,1957.6341018064873,305,8,274,274,0,0,465,465,0,26,-0.009195402298850575,0,0.0,0,0,0.0,31,0,0,0,62
org.joda.time.TestDateTimeZone,1297,6585.251376178125,360,29,281,281,14,5,2453,1825,628,673,0.19813519813519814,5,0.07504520795660036,0,0,0.0,79,14,0,10,177
org.joda.time.TestBasePartial,145,783.565261674337,20,3,14,14,5,2,14,13,1,2,-0.3,1,0.1,0,0,0.0,6,5,0,5,11
org.joda.time.TestSeconds,370,1791.8556169863266,142,6,110,110,1,1,495,494,1,2,-0.06236559139784946,30,0.0625,0,0,0.0,32,1,0,1,45
org.joda.time.TestIllegalFieldValueException,338,1171.7877997124826,119,7,108,108,0,0,55,55,0,1,-0.2,0,0.0,0,0,0.0,11,0,0,0,21
org.joda.time.TestWeeks,400,1831.521388366291,146,6,114,114,1,1,495,494,1,2,-0.06236559139784946,30,0.0625,0,0,0.0,32,1,0,1,49
org.joda.time.TestHours,397,1906.371745920179,145,6,113,113,1,1,495,494,1,2,-0.06236559139784946,30,0.0625,0,0,0.0,32,1,0,1,47
org.joda.time.TestDurationFieldType,189,1049.096463455448,122,8,102,102,0,0,190,190,0,15,-0.023391812865497075,0,0.0,0,0,0.0,20,0,0,0,40
org.joda.time.tz.TestCachedDateTimeZone,82,372.68278074531565,22,7,15,15,1,1,20,19,1,2,-0.26666666666666666,5,0.2857142857142857,0,0,0.0,7,1,0,1,14
org.joda.time.tz.TestZoneInfoCompiler,95,479.6683009163535,32,8,23,23,0,0,36,36,0,0,-0.2857142857142857,0,0.0,0,0,0.0,9,0,0,0,14
